Point Name,Time Recorded,Gas Temperature,Static Pressure,CH4 Percent,CO2 Percent,O2 Percent,Balance Percent,Date Recorded,TRS,Vacuum In WC
"FRBVC190","8:39 AM","114.0","-0.70","51.3","46.5","0.0","2.2","8/15/2018","","",
"FRBVC191","8:43 AM","104.0","-0.30","33.7","64.5","0.0","1.8","8/15/2018","","",
"FRBVC192","8:46 AM","96.0","-0.80","25.6","66.6","0.0","7.8","8/15/2018","","",
"FRB00MC6","11:08 AM","84.0","-29.60","36.4","40.3","1.0","22.3","8/17/2018","","",
"FRBSVE2A","12:46 PM","73.0","-0.60","0.0","1.2","20.8","78.0","8/17/2018","","",
"FRBSVE2B","12:50 PM","74.0","-3.00","14.1","13.4","8.7","63.8","8/17/2018","","",
"FRBSVE2B","12:51 PM","74.0","-3.00","14.1","13.4","8.7","63.8","8/17/2018","","",
"FRBSVE3A","12:56 PM","74.0","-0.20","0.0","0.7","20.8","78.5","8/17/2018","","",
"FRBSVE3B","12:59 PM","78.0","-2.60","21.4","17.0","8.1","53.5","8/17/2018","","",
"FRBSVE4A","1:04 PM","77.0","-0.50","0.2","1.3","19.8","78.7","8/17/2018","","",
"FRBSVE4B","1:06 PM","78.0","-11.50","24.4","17.5","6.2","51.9","8/17/2018","","",
"FRBSVE5A","1:11 PM","76.0","-2.70","1.6","8.3","9.6","80.5","8/17/2018","","",
"FRBSVE5B","1:13 PM","72.0","-26.10","50.5","35.8","0.1","13.6","8/17/2018","","",
"FRBSVE6A","1:16 PM","72.0","-1.10","1.1","8.3","9.1","81.5","8/17/2018","","",
"FRBSVE6B","1:18 PM","71.0","-25.90","47.0","31.7","0.7","20.6","8/17/2018","","",
"FRBSVE7A","1:20 PM","74.0","-25.70","50.6","34.2","0.3","14.9","8/17/2018","","",
"FRBSVE7A","1:20 PM","74.0","-25.70","50.6","34.2","0.3","14.9","8/17/2018","","",
"FRBSVE7B","1:22 PM","72.0","-1.00","15.0","17.7","3.9","63.4","8/17/2018","","",
"FRBSVE8A","1:28 PM","85.0","-21.80","32.1","28.9","0.0","39.0","8/17/2018","","",
"FRBSVE8B","1:31 PM","90.0","-26.00","56.2","36.8","0.0","7.0","8/17/2018","","",
"FRBSVE8B","1:31 PM","90.0","-26.00","56.2","36.8","0.0","7.0","8/17/2018","","",
"FRBSVE9A","1:35 PM","87.0","-20.70","25.8","26.0","0.0","48.2","8/17/2018","","",
"FRBSVE9B","1:37 PM","90.0","-26.00","60.3","37.3","0.3","2.1","8/17/2018","","",
"FBSVE10A","1:40 PM","78.0","-21.40","26.7","24.9","0.0","48.4","8/17/2018","","",
"FBSVE10B","1:42 PM","88.0","-26.10","62.0","36.1","0.3","1.6","8/17/2018","","",
"FRB07AA7","11:44 AM","109.0","-16.20","58.2","41.5","0.2","0.1","9/06/2018","","",
"FRB07AA6","11:50 AM","124.0","-21.80","56.9","42.8","0.1","0.2","9/06/2018","","",
"FRB07AA5","11:57 AM","89.0","-23.20","57.9","41.7","0.2","0.2","9/06/2018","","",
"FRB07BB4","12:34 PM","87.0","-24.60","47.1","36.5","3.3","13.1","9/06/2018","","",
"FRB07BA4","12:39 PM","95.0","-2.60","50.2","38.0","2.7","9.1","9/06/2018","","",
"FRBVC187","12:45 PM","110.0","-4.20","58.4","41.5","0.0","0.1","9/06/2018","","",
"FRBVC186","12:52 PM","116.0","-3.60","50.2","36.4","2.7","10.7","9/06/2018","","",
"FRBVC185","12:57 PM","118.0","-1.00","57.4","42.5","0.0","0.1","9/06/2018","","",
"FRBVC184","1:05 PM","111.0","-1.90","58.4","41.0","0.0","0.6","9/06/2018","","",
"FRBVC207","1:15 PM","76.0","-0.30","57.4","40.5","0.0","2.1","9/06/2018","","",
"FRBVC208","1:21 PM","80.0","-0.20","49.6","37.0","0.0","13.4","9/06/2018","","",
"FRBVC209","1:28 PM","78.0","-7.70","42.7","36.4","0.0","20.9","9/06/2018","","",
"FRBVC188","3:15 PM","122.0","-3.00","56.4","43.3","0.2","0.1","9/06/2018","","",
"FRBVC189","3:23 PM","130.0","-3.30","56.7","43.2","0.0","0.1","9/06/2018","","",
"FRB7BC6W","3:31 PM","115.0","-12.10","58.2","41.7","0.0","0.1","9/06/2018","","",
"FRB7BC5W","3:35 PM","120.0","-14.70","57.9","42.0","0.0","0.1","9/06/2018","","",
"FRB7BC4W","3:39 PM","122.0","-15.80","57.5","42.4","0.0","0.1","9/06/2018","","",
"FRB07BD1","3:49 PM","106.0","-9.70","56.2","43.4","0.0","0.4","9/06/2018","","",
"FRB07BD2","4:08 PM","80.0","-4.30","56.4","42.7","0.0","0.9","9/06/2018","","",
"FRBVC138","11:22 AM","124.0","-8.20","56.7","42.0","0.2","1.1","9/07/2018","","",
"FRB007D1","11:31 AM","122.0","-11.10","51.9","40.6","0.3","7.2","9/07/2018","","",
"FRB007D2","11:37 AM","125.0","-22.30","55.0","42.8","0.3","1.9","9/07/2018","","",
"FRB007D3","11:42 AM","122.0","-21.30","55.4","42.5","0.3","1.8","9/07/2018","","",
"FRBVC204","11:48 AM","88.0","-14.00","53.5","41.4","0.2","4.9","9/07/2018","","",
"FRB007D4","11:56 AM","120.0","-22.40","54.0","42.7","0.3","3.0","9/07/2018","","",
"FRB5DE6W","12:05 PM","120.0","-22.20","56.3","42.4","0.0","1.3","9/07/2018","","",
"FRBVC205","12:16 PM","120.0","-5.10","50.3","40.1","0.0","9.6","9/07/2018","","",
"FRB5DE7W","12:23 PM","125.0","-11.00","56.0","42.7","0.1","1.2","9/07/2018","","",
"FRBVC206","12:29 PM","84.0","-2.80","50.0","41.4","0.0","8.6","9/07/2018","","",
"FRBVC213","12:49 PM","92.0","-2.60","55.4","42.3","0.0","2.3","9/07/2018","","",
"FRB07BD2","12:56 PM","116.0","-7.50","54.6","43.7","0.0","1.7","9/07/2018","","",
"FRB07BE3","1:03 PM","92.0","-9.00","42.4","36.5","3.2","17.9","9/07/2018","","",
"FRBVC122","1:09 PM","96.0","-7.20","28.1","23.5","9.6","38.8","9/07/2018","","",
"FRBVC121","1:34 PM","78.0","-11.50","9.8","8.4","16.4","65.4","9/07/2018","","",
"FRB07BE2","1:44 PM","88.0","-8.40","52.8","43.7","0.2","3.3","9/07/2018","","",
"FRB07BD3","1:51 PM","124.0","-2.80","56.5","42.0","0.1","1.4","9/07/2018","","",
"FRBVC214","1:54 PM","78.0","-1.30","56.0","42.6","0.0","1.4","9/10/2018","","",
"FRB7BC2W","2:05 PM","92.0","-12.60","56.2","42.2","0.2","1.4","9/10/2018","","",
"FRB7BC1W","2:10 PM","96.0","-10.60","56.5","43.2","0.1","0.2","9/10/2018","","",
"FRBVC123","2:13 PM","100.0","-4.70","57.0","42.3","0.1","0.6","9/10/2018","","",
"FRB07BE1","2:22 PM","94.0","0.00","43.3","40.1","0.6","16.0","9/10/2018","","",
"FB5BCF2N","2:36 PM","94.0","-7.40","14.6","23.3","1.8","60.3","9/10/2018","","",
"FRBVC195","2:45 PM","90.0","-4.40","43.5","39.3","2.4","14.8","9/10/2018","","",
"FRBVC194","2:52 PM","100.0","-0.80","54.2","43.4","0.3","2.1","9/10/2018","","",
"FRBVC196","3:04 PM","90.0","-6.00","46.7","45.1","0.1","8.1","9/10/2018","","",
"FRBVC197","3:12 PM","90.0","-4.60","52.5","45.3","0.0","2.2","9/10/2018","","",
"FRBVC198","3:19 PM","94.0","-2.60","46.8","48.3","0.1","4.8","9/10/2018","","",
"FRB08BC3","3:27 PM","80.0","0.10","29.4","70.5","0.0","0.1","9/10/2018","","",
"FRB08BC2","3:36 PM","84.0","-0.20","17.1","82.8","0.0","0.1","9/10/2018","","",
"FRBVC199","3:46 PM","82.0","-1.40","42.3","50.9","0.1","6.7","9/10/2018","","",
"FRBVC155","11:36 AM","105.0","-3.10","50.3","38.3","0.1","11.3","9/11/2018","","",
"FRBVC162","11:45 AM","84.0","-1.30","1.0","17.1","2.3","79.6","9/11/2018","","",
"FRBVC163","12:12 PM","86.0","-5.80","2.3","17.6","0.6","79.5","9/11/2018","","",
"FRBVC149","12:19 PM","100.0","-5.40","14.5","20.9","2.4","62.2","9/11/2018","","",
"FRBVC164","12:27 PM","79.0","-2.00","43.9","37.2","0.8","18.1","9/11/2018","","",
"FRBVC165","12:33 PM","80.0","-3.20","30.1","26.8","4.2","38.9","9/11/2018","","",
"FRBVC159","12:40 PM","75.0","-5.70","25.6","27.3","0.4","46.7","9/11/2018","","",
"FRBVC167","12:50 PM","82.0","-4.70","9.3","20.6","0.1","70.0","9/11/2018","","",
"FRBVC166","1:00 PM","100.0","-1.00","15.7","22.7","2.5","59.1","9/11/2018","","",
"FRBVC160","1:13 PM","85.0","-2.90","12.8","23.8","0.4","63.0","9/11/2018","","",
"FRBVC169","1:22 PM","85.0","-2.20","11.3","22.3","1.2","65.2","9/11/2018","","",
"FRBVC161","1:29 PM","90.0","-0.80","7.1","19.8","1.7","71.4","9/11/2018","","",
"FRB08CB4","1:38 PM","110.0","-1.30","41.1","42.8","1.6","14.5","9/11/2018","","",
"FRBVC192","1:48 PM","85.0","-1.70","31.7","60.4","0.6","7.3","9/11/2018","","",
"FRB08CB3","1:57 PM","110.0","-1.90","41.9","41.9","2.5","13.7","9/11/2018","","",
"FRB08CB5","2:08 PM","114.0","-2.10","35.8","33.3","4.8","26.1","9/11/2018","","",
"FRBVC152","2:16 PM","84.0","-11.50","25.2","20.6","4.9","49.3","9/11/2018","","",
"FRB00MC8","2:26 PM","102.0","-22.80","55.3","38.0","0.5","6.2","9/11/2018","","",
"FRB00MC2","2:29 PM","88.0","-23.30","11.2","10.1","14.5","64.2","9/11/2018","","",
"FRB00MC7","2:32 PM","99.0","-22.50","49.9","34.1","1.2","14.8","9/11/2018","","",
"FB5BCC8S","2:38 PM","105.0","-22.30","52.3","39.1","0.3","8.3","9/11/2018","","",
"FB5BCC7S","2:44 PM","92.0","-18.00","44.1","36.0","0.2","19.7","9/11/2018","","",
"FB5BCD6S","2:52 PM","110.0","-22.20","55.2","41.7","0.0","3.1","9/11/2018","","",
"FB5BCC6S","2:58 PM","112.0","-14.70","43.8","32.1","3.0","21.1","9/11/2018","","",
"FRB5BCE5","3:06 PM","118.0","-6.70","51.0","40.4","0.2","8.4","9/11/2018","","",
"FRB5BCE4","3:15 PM","120.0","-8.80","55.5","41.7","0.1","2.7","9/11/2018","","",
"FRB5BCE3","3:21 PM","122.0","-7.30","55.5","41.5","0.1","2.9","9/11/2018","","",
"FRB5BCE2","3:29 PM","122.0","-1.40","54.9","41.3","0.0","3.8","9/11/2018","","",
"FB5BCD5S","11:09 AM","114.0","-23.10","57.4","41.7","0.5","0.4","9/12/2018","","",
"FRBSVE13","11:16 AM","60.0","-23.90","1.7","1.5","19.8","77.0","9/12/2018","","",
"FRBSVE14","11:22 AM","60.0","-21.20","0.0","1.4","18.7","79.9","9/12/2018","","",
"FB5BCC5S","11:26 AM","115.0","-20.00","57.7","40.6","0.0","1.7","9/12/2018","","",
"FB5BCA5E","11:31 AM","98.0","-23.60","59.3","40.3","0.3","0.1","9/12/2018","","",
"FB5BCA4E","11:35 AM","95.0","-23.50","58.6","41.1","0.1","0.2","9/12/2018","","",
"FRBSVE15","11:39 AM","60.0","-2.00","0.1","0.7","20.3","78.9","9/12/2018","","",
"FB5BCC4S","11:44 AM","110.0","-22.00","56.5","39.5","0.2","3.8","9/12/2018","","",
"FRB5BCE1","11:49 AM","110.0","-23.40","56.3","43.1","0.4","0.2","9/12/2018","","",
"FB5BCC3S","11:56 AM","90.0","-23.50","59.3","40.2","0.0","0.5","9/12/2018","","",
"FB5BCD2S","12:02 PM","122.0","-22.80","54.3","40.2","0.2","5.3","9/12/2018","","",
"FB5BCC2S","12:07 PM","100.0","-23.50","60.1","39.5","0.1","0.3","9/12/2018","","",
"FRBSVE16","12:12 PM","75.0","-23.80","56.1","38.6","0.5","4.8","9/12/2018","","",
"FB5BCC1S","12:16 PM","100.0","-20.10","60.0","39.8","0.0","0.2","9/12/2018","","",
"FRB00MC1","12:23 PM","92.0","-23.20","47.7","33.2","3.1","16.0","9/12/2018","","",
"FRB8CA1S","12:29 PM","108.0","-11.30","13.2","23.0","0.3","63.5","9/12/2018","","",
"FRB8CA2S","12:32 PM","90.0","-8.30","23.7","28.6","0.5","47.2","9/12/2018","","",
"FRBSVE17","12:39 PM","80.0","-10.30","39.4","30.1","3.0","27.5","9/12/2018","","",
"FRBVC193","12:59 PM","84.0","-0.20","28.8","71.1","0.0","0.1","9/12/2018","","",
"FRB08CB2","1:05 PM","96.0","-0.50","51.7","48.1","0.0","0.2","9/12/2018","","",
"FRBAHC01","1:11 PM","96.0","0.00","0.0","0.2","20.5","79.3","9/12/2018","","",
"FRB08CB1","1:19 PM","94.0","-0.50","48.4","51.4","0.0","0.2","9/12/2018","","",
"FRB8CA1N","1:24 PM","110.0","-21.10","51.6","40.8","0.1","7.5","9/12/2018","","",
"FRB8CA2N","1:28 PM","105.0","-9.70","37.8","32.2","4.5","25.5","9/12/2018","","",
"FRB08CA3","1:32 PM","105.0","-3.80","52.5","47.2","0.1","0.2","9/12/2018","","",
"FRBAHC01","1:38 PM","80.0","0.00","0.1","0.4","20.2","79.3","9/12/2018","","",
"FRBAHC03","1:48 PM","90.0","0.00","0.0","0.3","20.3","79.4","9/12/2018","","",
"FBSVE11A","1:51 PM","80.0","-18.80","0.0","0.1","20.5","79.4","9/12/2018","","",
"FBSVE11B","1:55 PM","80.0","-19.90","0.5","0.2","20.3","79.0","9/12/2018","","",
"FRBMTC1S","11:23 AM","70.0","-2.00","1.6","2.4","18.9","77.1","9/13/2018","","",
"FRB8CLC1","11:27 AM","80.0","-12.50","50.0","45.4","0.4","4.2","9/13/2018","","",
"FRB8CLC2","11:32 AM","80.0","-9.00","42.2","45.9","1.8","10.1","9/13/2018","","",
"FRB8CLC3","11:36 AM","80.0","-4.90","1.1","2.0","19.0","77.9","9/13/2018","","",
"FBSVE12A","11:40 AM","80.0","-1.00","0.0","0.2","20.4","79.4","9/13/2018","","",
"FBSVE12B","11:44 AM","80.0","-24.00","45.5","29.3","2.4","22.8","9/13/2018","","",
"FRB08BA1","11:58 AM","85.0","-3.40","50.5","48.7","0.0","0.8","9/13/2018","","",
"FRB08BA2","12:00 PM","80.0","-8.50","51.4","47.5","0.0","1.1","9/13/2018","","",
"FRB00MC6","12:31 PM","80.0","-29.60","45.4","41.0","0.0","13.6","9/13/2018","","",
"FRB00MC5","12:40 PM","90.0","-5.30","3.0","6.1","14.7","76.2","9/13/2018","","",
"FRB00MC3","12:44 PM","80.0","-18.00","0.1","0.6","20.2","79.1","9/13/2018","","",
"FRB00MC4","12:48 PM","85.0","-2.20","3.0","3.8","17.1","76.1","9/13/2018","","",
"FRB0VC72","12:54 PM","88.0","-24.50","7.1","9.5","13.1","70.3","9/13/2018","","",
"FRBVC112","12:58 PM","88.0","-0.20","0.0","0.2","20.6","79.2","9/13/2018","","",
"FRBVC111","1:01 PM","88.0","-0.30","2.7","2.2","19.1","76.0","9/13/2018","","",
"FRBVC110","1:04 PM","90.0","-0.40","10.1","7.8","16.1","66.0","9/13/2018","","",
"FRB0VC71","1:09 PM","82.0","-17.50","24.1","20.2","9.1","46.6","9/13/2018","","",
"FRBVC64R","1:21 PM","90.0","-3.10","36.0","27.7","6.7","29.6","9/13/2018","","",
"FRBVC56R","1:26 PM","99.0","-7.00","43.0","34.6","1.6","20.8","9/13/2018","","",
"FRB00B2W","1:31 PM","110.0","-24.30","57.9","40.3","0.0","1.8","9/13/2018","","",
"FRB00A2W","1:34 PM","110.0","-23.90","55.6","40.2","0.4","3.8","9/13/2018","","",
"FRBVC57R","1:41 PM","90.0","-5.90","49.7","38.3","0.1","11.9","9/13/2018","","",
"FRBVC58R","1:44 PM","90.0","-4.80","52.3","39.1","1.1","7.5","9/13/2018","","",
"FRBVC60R","1:52 PM","115.0","-11.70","25.9","19.9","10.1","44.1","9/13/2018","","",
"FRBVC116","1:58 PM","110.0","-0.60","24.3","19.0","9.5","47.2","9/13/2018","","",
"FRBVC117","2:01 PM","105.0","-0.20","8.6","6.4","16.4","68.6","9/13/2018","","",
"FRBVC118","2:05 PM","108.0","-0.70","13.3","8.5","15.9","62.3","9/13/2018","","",
"FRBVC113","2:12 PM","105.0","-0.40","1.9","3.5","17.5","77.1","9/13/2018","","",
"FRBVC114","2:15 PM","105.0","-1.00","13.4","11.2","13.5","61.9","9/13/2018","","",
"FRBVC115","2:18 PM","100.0","-0.70","30.4","21.8","8.8","39.0","9/13/2018","","",
"FRBSVE2A","2:26 PM","60.0","-0.30","0.0","0.1","20.8","79.1","9/13/2018","","",
"FRBSVE2B","2:32 PM","70.0","-0.60","7.2","6.4","15.8","70.6","9/13/2018","","",
"FRBSVE3A","2:38 PM","85.0","-0.40","0.0","0.2","20.7","79.1","9/13/2018","","",
"FRBSVE3B","2:44 PM","82.0","-0.80","14.5","11.5","10.5","63.5","9/13/2018","","",
"FRBSVE7B","2:50 PM","80.0","-0.30","5.4","6.7","14.2","73.7","9/13/2018","","",
"FRBSVE7A","2:57 PM","80.0","-10.80","0.0","0.0","20.8","79.2","9/13/2018","","",
"FRBSVE6B","3:04 PM","70.0","-7.50","0.0","0.0","20.8","79.2","9/13/2018","","",
"FRBSVE6A","3:09 PM","70.0","-0.40","0.0","0.3","19.4","80.3","9/13/2018","","",
"FRBSVE5A","3:13 PM","60.0","-1.60","0.0","0.2","20.8","79.0","9/13/2018","","",
"FRBSVE5B","3:16 PM","65.0","-9.80","0.0","0.0","21.0","79.0","9/13/2018","","",
"FBSVE10A","3:21 PM","80.0","-5.10","0.0","0.0","20.8","79.2","9/13/2018","","",
"FBSVE10B","3:24 PM","80.0","-15.50","0.0","0.0","21.0","79.0","9/13/2018","","",
"FRBSVE9B","3:28 PM","85.0","-7.80","0.0","0.0","21.0","79.0","9/13/2018","","",
"FRBSVE9A","3:30 PM","85.0","-4.70","0.0","0.0","21.0","79.0","9/13/2018","","",
"FRBSVE8A","3:34 PM","80.0","-5.50","0.0","0.0","21.0","79.0","9/13/2018","","",
"FRBSVE8B","3:36 PM","80.0","-11.00","0.0","0.0","20.9","79.1","9/13/2018","","",
"FRBSVE4A","11:35 AM","60.0","-0.10","0.1","0.1","20.4","79.4","9/14/2018","","",
"FRBSVE4B","11:38 AM","55.0","-3.70","0.0","0.0","20.9","79.1","9/14/2018","","",
"FBVC154D","11:56 AM","70.0","-22.30","54.0","40.1","0.3","5.6","9/14/2018","","",
"FBVC154S","12:00 PM","110.0","-5.70","29.7","36.0","0.1","34.2","9/14/2018","","",
"FRB08CB6","12:05 PM","115.0","-1.60","39.6","47.1","0.0","13.3","9/14/2018","","",
"FRBVC168","12:09 PM","80.0","-2.80","45.8","39.3","0.1","14.8","9/14/2018","","",
"FRBVC210","12:16 PM","80.0","-19.40","44.8","37.5","0.1","17.6","9/14/2018","","",
"FRBVC144","12:25 PM","80.0","-20.00","32.5","27.8","6.9","32.8","9/14/2018","","",
"FRBVC173","12:30 PM","110.0","-8.70","43.1","39.9","0.1","16.9","9/14/2018","","",
"FRBVC153","12:37 PM","80.0","-19.30","37.4","29.3","5.6","27.7","9/14/2018","","",
"FRBVC148","12:44 PM","119.0","-22.90","51.2","38.2","1.3","9.3","9/14/2018","","",
"FRBVC150","12:50 PM","120.0","-15.50","51.9","37.0","1.9","9.2","9/14/2018","","",
"FRB5BCE5","12:54 PM","120.0","-14.40","40.5","33.7","4.2","21.6","9/14/2018","","",
"FRBVC142","1:03 PM","80.0","-15.00","17.7","16.4","12.7","53.2","9/14/2018","","",
"FRBVC141","1:08 PM","112.0","-13.90","37.1","32.7","3.2","27.0","9/14/2018","","",
"FRBVC140","1:14 PM","90.0","-16.90","49.5","38.3","1.7","10.5","9/14/2018","","",
"FRB5DE5S","1:27 PM","75.0","-22.70","0.0","0.1","20.7","79.2","9/14/2018","","",
"FRB5DE6S","1:33 PM","95.0","-22.90","49.7","39.3","2.0","9.0","9/14/2018","","",
"FRB05DG4","1:38 PM","116.0","-3.00","42.0","40.6","0.4","17.0","9/14/2018","","",
"FRB08BB3","10:56 AM","64.0","-0.30","21.3","43.9","6.5","28.3","9/15/2018","","",
"FRB08BB4","11:04 AM","60.0","-0.10","5.7","6.5","18.8","69.0","9/15/2018","","",
"FRBVC215","12:55 PM","75.0","-3.80","19.5","23.5","1.9","55.1","9/15/2018","","",
"FRB8BC3S","1:07 PM","60.0","-3.30","56.5","39.4","0.3","3.8","9/15/2018","","",
"FRB07BD3","1:15 PM","70.0","-0.20","27.2","69.1","0.3","3.4","9/15/2018","","",
"FRB8BC2S","1:19 PM","70.0","-0.20","25.1","72.0","0.3","2.6","9/15/2018","","",
"FRB8BC1S","1:19 PM","70.0","-0.20","25.1","72.0","0.3","2.6","9/15/2018","","",
"F8CLCRS5","1:22 PM","70.0","-23.50","0.0","2.5","20.3","77.2","9/15/2018","","",
"FRB8BB1N","1:29 PM","80.0","-0.30","27.4","69.8","0.5","2.3","9/15/2018","","",
"F8BLCSR1","1:38 PM","70.0","-0.20","17.4","77.9","0.4","4.3","9/15/2018","","",
"FRB08BB2","1:43 PM","80.0","-0.10","32.5","64.9","0.2","2.4","9/15/2018","","",
"FRB5BCF1","1:53 PM","110.0","-11.10","50.5","42.1","0.3","7.1","9/15/2018","","",
"FRB5BCF2","1:56 PM","120.0","-12.80","48.5","41.5","0.6","9.4","9/15/2018","","",
"FRBVC158","2:00 PM","80.0","-6.20","42.4","35.4","0.3","21.9","9/15/2018","","",
"FRB5BCF3","2:06 PM","118.0","-16.70","52.6","42.3","0.4","4.7","9/15/2018","","",
"FRB5BCF4","2:10 PM","120.0","-15.70","52.8","42.0","0.4","4.8","9/15/2018","","",
"FRBVC147","2:17 PM","118.0","-22.40","43.1","34.5","1.9","20.5","9/15/2018","","",
"FRB5BCF5","2:22 PM","85.0","-22.70","54.3","38.7","0.8","6.2","9/15/2018","","",
"FRBVC157","2:27 PM","85.0","-10.00","37.0","32.9","0.3","29.8","9/15/2018","","",
"FRBVC146","2:34 PM","120.0","-15.50","55.5","39.1","0.5","4.9","9/15/2018","","",
"FRBVC145","2:39 PM","120.0","-10.90","47.6","37.9","0.5","14.0","9/15/2018","","",
"FRBVC176","10:54 AM","110.0","-4.90","41.9","40.9","0.7","16.5","9/16/2018","","",
"FRBVC104","11:03 AM","70.0","-15.30","49.8","43.1","2.0","5.1","9/16/2018","","",
"FRBVC103","11:06 AM","100.0","-15.20","50.4","41.3","2.1","6.2","9/16/2018","","",
"FRBVC156","11:21 AM","70.0","-1.50","50.8","42.1","0.5","6.6","9/16/2018","","",
"FRBVC172","11:26 AM","115.0","-11.00","44.6","39.3","0.6","15.5","9/16/2018","","",
"FRBVC171","11:30 AM","110.0","-19.40","51.7","42.4","0.8","5.1","9/16/2018","","",
"FRBVC170","11:33 AM","105.0","-20.60","55.3","43.2","0.7","0.8","9/16/2018","","",
"FBVC105R","11:39 AM","120.0","-13.00","52.2","47.0","0.6","0.2","9/16/2018","","",
"FRBVC175","11:43 AM","108.0","-2.70","46.4","42.5","0.8","10.3","9/16/2018","","",
"FRBVC174","11:49 AM","110.0","-8.00","29.2","30.8","5.0","35.0","9/16/2018","","",
"FRBVC202","11:54 AM","80.0","-11.40","53.4","45.7","0.4","0.5","9/16/2018","","",
"FRBVC203","11:58 AM","90.0","-12.30","53.1","46.3","0.4","0.2","9/16/2018","","",
"FRBVC137","12:03 PM","125.0","-10.70","52.4","46.9","0.5","0.2","9/16/2018","","",
"FRB5DE3S","12:14 PM","90.0","-22.10","53.7","45.7","0.4","0.2","9/16/2018","","",
"FBVC109R","12:21 PM","70.0","-22.20","42.4","36.9","4.5","16.2","9/16/2018","","",
"FRB05DF2","12:25 PM","85.0","-22.30","52.9","46.3","0.7","0.1","9/16/2018","","",
"FRBVC108","12:30 PM","75.0","-22.60","38.9","35.0","6.0","20.1","9/16/2018","","",
"FRB05DF1","12:36 PM","80.0","-22.90","40.0","34.1","5.3","20.6","9/16/2018","","",
"FRBVC107","12:39 PM","100.0","-23.10","51.8","47.8","0.2","0.2","9/16/2018","","",
"FBVC106R","12:44 PM","100.0","-18.80","52.8","46.3","0.8","0.1","9/16/2018","","",
"FRBVC178","12:50 PM","100.0","-7.50","47.6","47.0","0.4","5.0","9/16/2018","","",
"FRBVC131","1:00 PM","80.0","-2.40","0.0","0.1","20.6","79.3","9/16/2018","","",
"FRBVC177","1:05 PM","120.0","-7.00","51.3","43.3","0.8","4.6","9/16/2018","","",
"FRB05DG5","1:11 PM","90.0","-7.90","40.1","40.9","0.8","18.2","9/16/2018","","",
"FRB05DG6","1:17 PM","110.0","-6.60","41.2","40.2","0.8","17.8","9/16/2018","","",
"FRB05DG3","1:21 PM","115.0","-3.70","38.1","41.6","0.3","20.0","9/16/2018","","",
"FRB05DG2","1:26 PM","90.0","-7.20","40.1","40.2","0.8","18.9","9/16/2018","","",
"FRB05DF4","1:33 PM","90.0","-22.50","54.1","44.7","0.7","0.5","9/16/2018","","",
"FRBVC136","1:37 PM","125.0","-13.10","52.4","45.1","0.9","1.6","9/16/2018","","",
"FRBVC135","1:45 PM","125.0","-0.30","54.8","43.3","0.6","1.3","9/16/2018","","",
"FRB05DG4","5:04 PM","125.0","-2.00","55.3","41.3","0.6","2.8","9/16/2018","","",
"FRB05DG1","5:12 PM","120.0","-6.30","35.9","34.8","0.6","28.7","9/16/2018","","",
"FRB00D2W","5:51 PM","110.0","-4.30","55.8","39.1","0.7","4.4","9/16/2018","","",
"FRB00C2W","5:56 PM","108.0","-20.00","54.0","38.5","0.8","6.7","9/16/2018","","",
"FRBMTC1N","8:04 AM","80.0","-8.20","48.1","37.7","2.3","11.9","9/28/2018","","",
"FRBVC191","8:12 AM","80.0","-1.10","42.5","55.3","0.3","1.9","9/28/2018","","",
"FRBVC190","8:15 AM","85.0","-2.30","48.2","47.1","0.6","4.1","9/28/2018","","",
"FRBVC212","8:20 AM","80.0","-20.60","56.5","40.1","0.7","2.7","9/28/2018","","",
"FRBVC211","8:25 AM","80.0","-15.30","57.1","40.2","0.6","2.1","9/28/2018","","",
"FRBVC55R","8:48 AM","95.0","-14.20","45.5","36.7","0.9","16.9","9/28/2018","","",
